"NAME","P1","P2","P3","P4","P5","BLITZ_PROB","YDS_PER_PLAY","COMPL_PRCNT","YDS_PER_CARRY","YDS_PER_COMP","YDS_PER_ATT"
"Purdue Boilermakers","Total","Total","Total","Total","Total",0.15,4.8,54.3,5,9.7,5.2
"Purdue Boilermakers","Justin Sinz","Akeem Hunt","Cameron Posey","Trae Hart","Gregory Phillips",0.15,4.6,50,8.5,5.7,2.7
"Rutgers Scarlet Knights","Michael Burton","Tyler Kroft","Leonte Carroo","Andre Patton","Robert Martin",0.22,7.5,63.2,5.7,21,12
"Rutgers Scarlet Knights","Total","Total","Total","Total","Total",0.2,5.9,56.3,4.5,15,8.3
"SMU Mustangs","Total","Total","Total","Total","Total",0.19,3.9,54.4,3.9,8.8,4.7
"SMU Mustangs","Der'rikk Thompson","Stephen Nelson","Darius Joseph","Prescott Line","Nate Halverson",0.23,5.1,54.5,5.8,9.8,5.1
"San Diego State Aztecs","Total","Total","Total","Total","Total",0.19,5.8,53.7,5.7,12.7,6.6
"San Jose State Spartans","Jabari Carr","Tyler Ervin","Hansell Wilson","Tyler Winston","Andrew Vollert",0.13,6.2,56.5,5.7,12.6,7.1
"San Jose State Spartans","Total","Total","Total","Total","Total",0.16,5.2,63.7,4,10.8,6.8
"South Carolina Gamecocks","Nick Jones","Jerell Adams","Mike Davis","Shaq Roland","Pharoh Cooper",0.21,4,50,-0.1,11.9,5.8
"South Carolina Gamecocks","Total","Total","Total","Total","Total",0.2,5.9,60.2,4.6,13.2,7.8
"South Carolina Gamecocks","Nick Jones","Busta Anderson","Mike Davis","Shaq Roland","Pharoh Cooper",0.23,7.3,81.5,3,15,11.8
"South Florida Bulls","Total","Total","Total","Total","Total",0.21,4.8,50.6,3.8,13.2,6.5
"Stanford Cardinal","Total","Total","Total","Total","Total",0.24,5.9,65.9,4.8,12.1,7.9
"Stanford Cardinal","Devon Cajuste","Ty Montgomery","Remound Wright","Michael Rector","Austin Hooper",0.23,5.5,62.7,1.7,12.7,7.8
"Syracuse Orange","Total","Total","Total","Total","Total",0.22,4.7,55.6,4.3,10.6,5.8
"TCU Horned Frogs","Total","Total","Total","Total","Total",0.19,6.5,62.2,5.6,13,8
"TCU Horned Frogs","Josh Doctson","Kolby Listenbee","B.J. Catalon","Deante' Gray","Ty Slanina",0.25,6.5,60,3.8,13.4,8
"TCU Horned Frogs","Aaron Green","Josh Doctson","David Porter","Kolby Listenbee","Ty Slanina",0.13,8.4,70.6,10.5,10.2,7.2
"Temple Owls","Total","Total","Total","Total","Total",0.13,4.7,55,3.8,11.3,6
